Estado,Ciudad,Zona_Escalada,Outdoor_o_Indoor,Tipo_de_Escalada,Calificacion_Promedio,Accesibilidad,Fuente,Insignia_Reconocimiento
Aguascalientes,Jesús María,Tapias Viejas,Outdoor,Deportiva,4.5,Media,Locales,
Aguascalientes,Jesús María,El Ocote,Outdoor,Deportiva-Boulder,4.6,Media,TheCrag-Google Maps,*
Aguascalientes,Jesús María,El Garabato,Outdoor,Deportiva,NULL,Media,TheCrag,
Aguascalientes,Jesús María,Apache Boulder Zone,Outdoor,Boulder,NULL,Media,Locales,
Aguascalientes,Jesús María,El Colmillo,Outdoor,Deportiva,NULL,Media,TheCrag,
Aguascalientes,Jesús María,La Muela,Outdoor,Deportiva-Boulder,3.8,Facil,TheCrag-Locales,
Aguascalientes,Calvillo,El Garruño,Outdoor,Boulder,NULL,Media,Locales,
Aguascalientes,Aguascalientes,Drop Climbing,Indoor,Boulder,4.9,Facil,Google Maps,
Aguascalientes,Aguascalientes,Crux Sala Boulder,Indoor,Boulder,4.7,Facil,Google Maps,
Aguascalientes,Aguascalientes,Santuario Boulder,Indoor,Boulder,4.9,Facil,Google Maps,
Baja California Norte,Tecate,La Rumorosa,Outdoor,Deportiva,4.5,Media,AllTrails,
Baja California Norte,Ensenada,Cataviña,Outdoor,Deportiva-Boulder,4.5,Media,Mountain Project,
Baja California Norte,Ensenada,Cañon El Tajo,Outdoor,Deportiva,4.7,Muy Dificil,Mountain Project,
Baja California Norte,Mexicali,Valle Azteca,Outdoor,Deportiva,4.3,Facil,Mountain Project,
Baja California Norte,Ensenada,Piedras Gordas,Outdoor,Deportiva,4.2,Facil,AllTrails,
Baja California Norte,Mexicali,Rock On Climbing Gym,Indoor,Boulder,4.8,Facil,Google Maps,
Baja California Norte,Ensenada,Dos Cumbres,Outdoor,Deportiva,3.5,Media,Mountain Project,
Baja California Sur,Todos Santos,La Poza,Outdoor,Boulder,4.4,Media,TheCrag,
Baja California Sur,Loreto,Cañon Tabor,Outdoor,Deportiva,4.4,Dificil,AllTrails,
Baja California Sur,La Paz,Arroyo Cajoncito,Outdoor,Deportiva,NULL,Facil,TheCrag,
Baja California Sur,Los Cabos,Cañon de la Zorra,Outdoor,Psicobloc,NULL,Media,TheCrag,
Baja California Sur,La Paz,Azend Studio,Indoor,Boulder,4.7,Facil,Google Maps,
Chiapas,San Cristobal de las Casas,Cerro de Don Lauro,Outdoor,Deportiva,4.5,Media,Google Maps,
Chiapas,San Cristobal de las Casas,El Arcotete,Outdoor,Deportiva,4.8,Media,TheCrag,*
Chiapas,San Cristobal de las Casas,Castillo del Dragon,Outdoor,Boulder,5,Dificil,TripAdvisor,*
Chiapas,San Cristobal de las Casas,Revolución,Outdoor,Deportiva,NULL,Media,TheCrag,
Chiapas,San Cristobal de las Casas,Las Canastas,Outdoor,Deportiva,NULL,Media,TheCrag,
Chiapas,San Cristobal de las Casas,Peña María,Outdoor,Deportiva-Boulder,NULL,Media,TheCrag,
Chiapas,San Felipe,El Retiro,Outdoor,Deportiva-Boulder,NULL,Media,Mountain Project,
Chiapas,San Cristobal de las Casas,La Roca Sala de Escalada,Indoor,Boulder,4.8,Facil,Google Maps,
Chiapas,San Cristobal de las Casas,Montetik,Outdoor,Boulder,NULL,Media,TheCrag,
Chiapas,Tuxtla Gutierrez,Cañon del Sumidero,Outdoor,Deportiva,NULL,Muy Dificil,TheCrag,
Chiapas,Tuxtla Gutierrez,Paredes de Copoya,Outdoor,Deportiva,NULL,Dificil,TheCrag,
Chiapas,Tuxtla Gutierrez,Inercia Sala de Escalada,Indoor,Boulder,4.9,Facil,Google Maps,
Chiapas,Tuxtla Gutierrez,Skala Boulder Gym,Indoor,Boulder,4.8,Facil,Google Maps,
Chihuahua,Ocampo,Basaseachi El Gigante,Outdoor,Deportiva,4.8,Muy Dificil,NA,
Chihuahua,Chihuahua,Majalca,Outdoor,Deportiva,NULL,Dificil,NA,
Chihuahua,El Aguaje,Boulderlandia,Outdoor,Boulder,NULL,Media,NA,
Chihuahua,Coronado,Peñoles,Outdoor,Boulder,5,Dificil,TheCrag-Locales,*
Chihuahua,Ciudad Juarez,El Camino Real,Outdoor,Deportiva,NULL,Dificil,TheCrag,
Chihuahua,Aquiles Serdan,San Antonio,Outdoor,Deportiva,NULL,Dificil,TheCrag,
Chihuahua,Chihuahua,Ika Climbing,Indoor,Deportiva-Boulder,4.9,Facil,Google Maps,
Ciudad de México,Ciudad de México,UNAM,Outdoor,Deportiva-Boulder,NULL,Facil,TheCrag,
Ciudad de México,Ciudad de México,Los Dinamos,Outdoor,Deportiva-Tradicional-Boulder,4.7,Media,Google Maps,
Ciudad de México,Ciudad de México,Onix Sala de Escalada,Indoor,Boulder,4.6,Facil,Google Maps,
Ciudad de México,Ciudad de México,Levita - Centro de Escalada,Indoor,Boulder,4.4,Facil,Google Maps,
Ciudad de México,Ciudad de México,V+ Bouldering & Sport Center,Indoor,Boulder,4.7,Facil,Google Maps,
Ciudad de México,Ciudad de México,Adamanta Escandón - Climbing Gym,Indoor,Boulder,4.8,Facil,Google Maps,
Ciudad de México,Ciudad de México,Toka Climbing,Indoor,Boulder,4.8,Facil,Google Maps,
Ciudad de México,Ciudad de México,Casa Boulder,Indoor,Deportiva-Boulder,4.7,Facil,Google Maps,
Ciudad de México,Ciudad de México,RockSolid,Indoor,Boulder,4.7,Facil,Google Maps,
Ciudad de México,Ciudad de México,The Wall,Indoor,Deportiva,4.4,Facil,Google Maps,
Ciudad de México,Ciudad de México,Adamanta Santa Fé - Climbing Gym,Indoor,Boulder,4.7,Facil,Google Maps,
Ciudad de México,Ciudad de México,Axo Climb,Indoor,Boulder,4.2,Facil,Google Maps,
Ciudad de México,Ciudad de México,Ascendum,Indoor,Boulder,4.7,Facil,Google Maps,
Ciudad de México,Ciudad de México,Amanecer Climbing,Indoor,Boulder,5,Facil,Google Maps,
Ciudad de México,Ciudad de México,Adamanta Del Valle - Climbing Gym,Indoor,Boulder,4.2,Facil,Google Maps,
Coahuila,Saltillo,Cañón de San Lorenzo,Outdoor,Deportiva-Boulder,NULL,Media,TheCrag,
Coahuila,Saltillo,Piedritas-Altamira,Outdoor,Boulder,NULL,Media,TheCrag,
Coahuila,Torreón,Las Noas,Outdoor,Deportiva,NULL,Facil,TheCrag,
Coahuila,Torreón,Cañón del Indio,Outdoor,Deportiva,NULL,Facil,TheCrag,
Coahuila,Candela,Cerro del Frentón,Outdoor,Deportiva,NULL,Facil,ProgramaDestinosMexico,
Coahuila,Saltillo,Monkey Climb,Indoor,Deportiva,4.9,Facil,Google Maps,
Colima,Comala,Peñas de Tepames,Outdoor,Deportiva-Boulder,NULL,Media,TheCrag,
Colima,Villa de Álvarez,Juluapan Boulder,Outdoor,Boulder,NULL,Media,TheCrag,
Colima,Colima,Kame Colima Climbing,Indoor,Boulder,NULL,Facil,Google Maps,
Durango,Lerdo,La Presa-Cañón de Fernandez,Outdoor,Deportiva-Boulder,NULL,Media,TheCrag,
Durango,Dinamita,Dinamita,Outdoor,Boulder,NULL,Media,TheCrag,
Durango,Santiago Bayacora,Parque Bayacora,Outdoor,Deportiva,4.9,Media,Google Maps,
Durango,Durango,Los Balcones,Outdoor,Deportiva-Tradicional,NULL,Dificil,TheCrag,
Durango,Durango,Chupaderos,Outdoor,Deportiva,NULL,Media,TheCrag,
Durango,Pueblo Nuevo,Parque La Pirámide,Outdoor,Deportiva-Boulder,NULL,Dificil,TheCrag,
Durango,Durango,Alza Climbing,Indoor,Boulder,5,Facil,Google Maps,
Estado de México,Texcoco,Texcoco-San Pablo Ixayoc,Outdoor,Deportiva,NULL,Media,Mountain Project,
Estado de México,Aculco de Espinoza,Aculco,Outdoor,Deportiva-Tradicional-Boulder,4.4,Media,TheCrag-Locales,
Estado de México,Jilotepec de Molina Enriquez,Jilotepec,Outdoor,Deportiva,4.8,Media,TheCrag-Locales,*
Estado de México,Lerma,Las Mesas,Outdoor,Deportiva,NULL,Media,TheCrag,
Estado de México,Valle de Bravo,Valle de Bravo,Outdoor,Deportiva,NULL,Media,TheCrag,*
Estado de México,Toluca,Calixtlahuaca,Outdoor,Deportiva,NULL,Media,TheCrag,
Estado de México,Toluca,Parque Matlazincas,Outdoor,Boulder,NULL,Facil,TheCrag,
Estado de México,Huixquilucan,Salazar,Outdoor,Boulder,4.5,Dificil,TheCrag-Locales,*
Estado de México,Jilotzingo,Las Manzanas,Outdoor,Deportiva-Boulder,NULL,Media,TheCrag,
Estado de México,Naucalpan de Juárez,Los Remedios,Outdoor,Deportiva,3.9,Dificil,TheCrag-Google Maps,
Estado de México,Toluca,Xkala by Walltopia,Indoor,Deportiva,4.7,Facil,Google Maps,
Estado de México,Toluca,Frixiona,Indoor,Boulder,4.8,Facil,Google Maps,
Estado de México,Naucalpan de Juárez,Adamanta Satélite - Gimnasio de escalada,Indoor,Deportiva-Boulder,4.6,Facil,Google Maps,
Estado de México,Valle de Bravo,Singular Climbing,Indoor,Boulder,4.7,Facil,Google Maps,
Estado de México,Toluca,Metaroca,Indoor,Boulder,4.9,Facil,Google Maps,
Guanajuato,Guanajuato,La Bufa,Outdoor,Deportiva,4.7,Media,Google Maps-Locales,*
Guanajuato,Guanajuato,Peña Sola,Outdoor,Deportiva,NULL,Media,TheCrag,
Guanajuato,León,Cañada del Gigante,Outdoor,Deportiva,NULL,Media,TheCrag,
Guanajuato,San Miguel de Allende,Alcocer,Outdoor,Deportiva-Tradicional,NULL,Media,TheCrag,
Guanajuato,Guanajuato,Santa Rosa,Outdoor,Boulder,NULL,Dificil,TheCrag-Locales,
Guanajuato,Guanajuato,Contra Gravedad,Indoor,Boulder,4.8,Facil,Google Maps,
Guanajuato,León,IngraHabitat,Indoor,Deportiva-Boulder,4.8,Facil,Google Maps,
Guerrero,Chontalcoatlán,La Chonta-El Hoyanco,Outdoor,Deportiva,NULL,Dificil,TheCrag,
Hidalgo,Mineral del Chico,Mineral del Chico,Outdoor,Deportiva-Boulder,5,Media,TheCrag-Locales,*
Hidalgo,El Arenal,Actopan,Outdoor,Deportiva-Boulder,4.5,Media,TheCrag-Locales,
Hidalgo,Actopan,San Juan Tizahuapan,Outdoor,Deportiva,NULL,Media,TheCrag,
Hidalgo,Omitlán de Juárez,Omitlán,Outdoor,Deportiva-Tradicional-Boulder,NULL,Media,TheCrag,
Hidalgo,Huasca de Ocampo,Huasca de Ocampo,Outdoor,Boulder,NULL,Media,TheCrag,
Hidalgo,Xolostitla de Morelos,Xolostitla,Outdoor,Deportiva,NULL,Media,TheCrag,
Hidalgo,Pachuca,Bloc E Climbing School Pachuca,Indoor,Boulder,4.5,Facil,Google Maps,
Jalisco,Zapopan,El Diente,Outdoor,Deportiva-Boulder,4.6,Facil,TheCrag-AllTrails,*
Jalisco,Zapopan,Tepopote,Outdoor,Deportiva,NULL,Facil,TheCrag,
Jalisco,Zapopan,Ixcatán,Outdoor,Deportiva-Boulder,4.6,Media,TheCrag-Locales,*
Jalisco,Zapopan,El Cuajo,Outdoor,Deportiva-Tradicional,4.7,Media,TheCrag-Locales,*
Jalisco,Zapopan,Huilotán,Outdoor,Deportiva,NULL,Media,TheCrag,
Jalisco,Zapopan,La Hidro,Outdoor,Deportiva,4.7,Facil,TheCrag-Locales,*
Jalisco,Zapopan,Los Desplomes,Outdoor,Deportiva,NULL,Media,TheCrag,
Jalisco,Ciudad Guzmán,Las Peñas,Outdoor,Deportiva,NULL,Media,TheCrag,
Jalisco,Zapopan,Motion Boulder I,Indoor,Boulder,4.8,Facil,Google Maps,
Jalisco,Zapopan,Motion Boulder II,Indoor,Boulder,4.9,Facil,Google Maps,
Jalisco,Zapopan,Motion Boulder III,Indoor,Deportiva-Boulder,4.8,Facil,Google Maps,
Jalisco,Guadalajara,Ameyalli Rocódromo,Indoor,Deportiva-Boulder,4.7,Facil,Google Maps,
Jalisco,Zapopan,Summit Gimnasio de Escalada,Indoor,Boulder,4.9,Facil,Google Maps,
Jalisco,Zapopan,Academia de Escalada 360,Indoor,Boulder,5,Facil,Google Maps,
Jalisco,Zapopan,Ye Center Escalada,Indoor,Deportiva-Boulder,4.7,Facil,Google Maps,
Michoacán,Tzitzio,El Oasis,Outdoor,Deportiva,4.3,Facil,TheCrag-Google Maps,
Michoacán,Morelia,Kaelus,Indoor,Deportiva,4.7,Facil,Google Maps,
Michoacán,Morelia,Stone Adventure,Indoor,Boulder,4.7,Facil,Google Maps,
Morelos,Tepoztlán,Meztitla-El Dado,Outdoor,Deportiva,NULL,Media,TheCrag-ProgramaDestinosMexico,
Morelos,Cuautla,Chalcatzingo,Outdoor,Deportiva,NULL,Media,TheCrag-ProgramaDestinosMexico,
Morelos,Huitzilac,Huitzilac,Outdoor,Deportiva-Boulder,NULL,Dificil,TheCrag,
Nayarit,Tepic,Guayacrag,Outdoor,Deportiva,NULL,Media,TheCrag,
Nayarit,Tepic,Higuera Crag,Outdoor,Deportiva,NULL,Media,TheCrag,
Nayarit,Tepic,La Cueva Muro y Gimanasio de Escalada,Indoor,Deportiva-Boulder,NULL,Facil,Google Maps,
Nuevo León,Monterrey,La Huasteca,Outdoor,Deportiva,4.9,Facil,TheCrag-TripAdvisor,*
Nuevo León,Hidalgo,Potrero Chico,Outdoor,Deportiva,4.6,Facil,TheCrag-TripAdvisor,*
Nuevo León,Santiago,El Salto,Outdoor,Deportiva,4.8,Media,TheCrag-Google Maps,*
Nuevo León,Mina,Las Ventanas,Outdoor,Deportiva,4.5,Media,TheCrag-Mountain Project,
Nuevo León,Monterrey,Cueva de Cumbia,Outdoor,Deportiva,NULL,Media,TheCrag-MonterreySecreto,
Nuevo León,Sabinas Hidalgo,Sierra Picachos,Outdoor,Deportiva,NULL,Media,MonterreySecreto,
Nuevo León,Mina,Culo de Gato,Outdoor,Deportiva,NULL,Media,TheCrag-MonterreySecreto,
Nuevo León,Santa Catarina,Pico Pirineos,Outdoor,Deportiva,NULL,Media,MonterreySecreto-ProgramaDestinosMexico,
Nuevo León,Santa Catarina,Cañon de las Escaleras,Outdoor,Boulder,NULL,Media,MonterreySecreto-ProgramaDestinosMexico,
Nuevo León,García,Grutas de García,Outdoor,Deportiva,4.6,Media,TheCrag-TripAdvisor,
Nuevo León,Monterrey,El Diente Monterrey,Outdoor,Deportiva,3.5,Dificil,TheCrag-Google Maps,
Nuevo León,Santiago,Cerro Agujerado,Outdoor,Deportiva,4.7,Dificil,TheCrag-Google Maps,
Nuevo León,Monterrey,Puente de Dios,Outdoor,Deportiva,4.8,Media,TheCrag-Google Maps,
Nuevo León,Monterrey,Adamanta Sierra - Climbing Gym,Indoor,Deportiva-Boulder,4.9,Facil,Google Maps,
Nuevo León,Monterrey,Pico Norte Tec,Indoor,Boulder,5,Facil,Google Maps,
Nuevo León,Monterrey,Mad Complex,Indoor,Boulder,4.8,Facil,Google Maps,
Nuevo León,Monterrey,Adamanta Gonzalitos - Climbing Gym,Indoor,Deportiva-Boulder,4.9,Facil,Google Maps,
Nuevo León,San Pedro Garza García,Pico Norte Climbing Gym San Pedro,Indoor,Boulder,4.9,Facil,Google Maps,
Nuevo León,Monterrey,Delta Indoor Climbing Club,Indoor,Boulder,4.9,Facil,Google Maps,
Nuevo León,Santa Catarina,La Casa de Piedra,Indoor,Boulder,4.7,Facil,Google Maps,
Oaxaca,Santiago Apoala,Peña Colorada,Outdoor,Deportiva,NULL,Media,TheCrag,
Oaxaca,San Sebastian Tutla,San Sebastian Tutla,Outdoor,Deportiva,NULL,Media,TheCrag,
Oaxaca,Tlalixtac de Cabrera,La Meca,Outdoor,Deportiva-Boulder,4.8,Media,TheCrag-Google Maps,
Oaxaca,Tlacolula de Matamoros,Yagul,Outdoor,Deportiva,NULL,Dificil,TheCrag,
Oaxaca,Oaxaca de Juárez,Kali Oaxaca Wall,Indoor,Boulder,4.7,Facil,Google Maps,
Oaxaca,Oaxaca de Juárez,Muro de Escalada Mondragón Sucursal Plaza del Valle,Indoor,Boulder,5,Facil,Google Maps,
Oaxaca,Oaxaca de Juárez,Erikuas Club De Escalada,Indoor,Boulder,4.7,Facil,Google Maps,
Oaxaca,Oaxaca de Juárez,Ascender wall,Indoor,Boulder,4.9,Facil,Google Maps,
Oaxaca,Oaxaca de Juárez,Muro Mondragon,Indoor,Boulder,4.9,Facil,Google Maps,
Puebla,Puebla de Zaragoza,Los Pericos,Outdoor,Deportiva,4.7,Facil,TheCrag-Google Maps,*
Puebla,Atlixco,El Texistle,Outdoor,Deportiva,NULL,Media,TheCrag,
Puebla,Puebla de Zaragoza,El Caño,Outdoor,Deportiva-Boulder,NULL,Media,TheCrag,
Puebla,San Andrés Cholula,Cueva de Tonantzintla,Outdoor,Deportiva,NULL,Media,Mountain Project,
Puebla,Aquixtla,El Paraíso,Outdoor,Deportiva,NULL,Media,TheCrag,
Puebla,Zacapoaxtla,Apulco,Outdoor,Boulder,NULL,Media,TheCrag,
Puebla,San Andrés Cholula,San Pancho,Outdoor,Boulder,NULL,Media,TheCrag,
Puebla,Puebla de Zaragoza,Rocódromo Fusión,Indoor,Deportiva-Boulder,4.6,Facil,Google Maps,
Puebla,Puebla de Zaragoza,Adamanta Puebla - Climbing Gym,Indoor,Boulder,4.9,Facil,Google Maps,
Puebla,Puebla de Zaragoza,Vucub Pec MURO DE ESCALADA Y GIMNASIO,Indoor,Deportiva-Boulder,4.5,Facil,Google Maps,
Puebla,San Martín Texmelucan,Sala 3 Boulder,Indoor,Boulder,NULL,Facil,TheCrag,
Puebla,San Andrés Cholula,Moonrock Boulder,Indoor,Boulder,4.8,Facil,Google Maps,
Querétaro,Bernal,Peña de Bernal,Outdoor,Deportiva-Boulder,4.8,Facil,TheCrag-Google Maps-Locales,*
Querétaro,San José Tepuzas,San José Tepuzas,Outdoor,Deportiva,4.8,Media,TheCrag-Google Maps,
Querétaro,Santa Rosa Xajay,Santa Rosa Xajay,Outdoor,Deportiva,NULL,Media,TheCrag,
Querétaro,Cadereyta de Montes,El Doctor,Outdoor,Deportiva,4.8,Media,TheCrag-Google Maps,
Querétaro,Santiago de Querétaro,Barranca de los Pilones,Outdoor,Deportiva,NULL,Media,ProgramaDestinosMexico,
Querétaro,Santiago de Querétaro,La Cañada,Outdoor,Deportiva,NULL,Media,ProgramaDestinosMexico,
Querétaro,Santa Rosa Xajay,Peña del cuervo,Outdoor,Deportiva,NULL,Media,ProgramaDestinosMexico,
Querétaro,Santiago de Querétaro,El Muro Centro de Escalada,Indoor,Boulder,4.9,Facil,Google Maps,
Querétaro,Santiago de Querétaro,Rockera Muro de Escalada,Indoor,Boulder,4.5,Facil,Google Maps,
Querétaro,Santiago de Querétaro,Muro Escobedo 108,Indoor,Deportiva,5,Facil,Google Maps,
Quintana Roo,Solidaridad,Cenote Parque de La Madre,Outdoor,Boulder,NULL,Facil,TheCrag,
Quintana Roo,Cancún,Cenote Rancho Viejo,Outdoor,Boulder,NULL,Facil,TheCrag,
Quintana Roo,Todo Quintana Roo,Varios Cenotes,Outdoor,Boulder-Psicobloc,NULL,Media,Locales,
Quintana Roo,Cancún,Boulder Corp. - Gimnasio de Escalada en Cancún,Indoor,Boulder,4.8,Facil,Google Maps,
Quintana Roo,Playa del Carmen,Playa Rocks,Indoor,Boulder,3.2,Facil,Google Maps,
San Luis Potosí,Guadalcázar,Guadalcázar,Outdoor,Deportiva-Boulder,4.6,Media,TheCrag-Google Maps-Locales,*
San Luis Potosí,Xilitla,Cueva del Salitre,Outdoor,Deportiva,4.4,Media,TheCrag-Google Maps,
San Luis Potosí,San Luis Potosí,Presa San Jose-Las Lilys,Outdoor,Deportiva,NULL,Media,TheCrag,
San Luis Potosí,San Luis Potosí,El Potosí,Outdoor,Deportiva,NULL,Media,TheCrag,
San Luis Potosí,San Luis Potosí,El Peaje,Outdoor,Deportiva,NULL,Media,TheCrag-Wikiloc,
Sinaloa,Guasave,Cerro Cabezón,Outdoor,Boulder,NULL,Media,Locales-Redes Sociales,
Sinaloa,Los Mochis,Ascend Climbing,Indoor,Boulder,5,Facil,Google Maps,
Sonora,Hermosillo,Cerro de La Cementera,Outdoor,Deportiva,4.8,Media,TheCrag-Google Maps,
Sonora,Hermosillo,El Reliz-Cerro de las Víboras,Outdoor,Deportiva,NULL,Media,TheCrag-Mountain Project,
Sonora,Huásabas,Cruz del Diablo,Outdoor,Deportiva,NULL,Díficil,TheCrag-Mountain Project,
Sonora,Hermosillo,Boulder Grid,Indoor,Boulder,4.9,Facil,Google Maps,
Tabasco,Villahermosa,Agua Selva,Outdoor,Deportiva,NULL,Media,ProgramaDestinosMexico,
Tabasco,Villahermosa,Cascadas de Agua Blanca,Outdoor,Deportiva,NULL,Media,ProgramaDestinosMexico,
Tabasco,Villahermosa,Las Flores,Outdoor,Deportiva,NULL,Media,ProgramaDestinosMexico,
Tamaulipas,Jaumave,Reserva de la Biósfera El Cielo,Outdoor,Deportiva,NULL,Media,VisitTamaulipas,
Tamaulipas,San Carlos,Sierra de San Carlos,Outdoor,Deportiva,NULL,Dificil,VisitTamaulipas,
Tamaulipas,González,Cerro El Bernal,Outdoor,Deportiva,NULL,Media,VisitTamaulipas,
Tamaulipas,El Mante,Cañon de la Servilleta,Outdoor,Boulder,NULL,Dificil,TheCrag,
Tamaulipas,Tampico,Reikuntampico,Indoor,Boulder,NULL,Facil,Redes Sociales,
Tlaxcala,Amaxac de Guerrero,Atlihuetzia,Outdoor,Deportiva-Boulder,4.8,Media,TheCrag-Google Maps,
Tlaxcala,Panotla,San Mateo Huexoyucan,Outdoor,Boulder,NULL,Media,TheCrag,
Tlaxcala,Panotla,Huiloapan,Outdoor,Deportiva-Tradicional,NULL,Media,TheCrag,
Tlaxcala,San José Teacalco,Cuatlapanga,Outdoor,Deportiva,NULL,Media,TheCrag,
Tlaxcala,Panotla,El Quesito,Outdoor,Deportiva,NULL,Media,TheCrag,
Tlaxcala,Tlaxco,Acopinalco del Peñón,Outdoor,Deportiva,NULL,Media,ProgramaDestinosMexico,
Tlaxcala,Tlaxcala de Xicohténcatl,F2 Sala de Escalada,Indoor,Boulder,4.9,Facil,Google Maps,
Veracruz,Jalcomulco,Cerro Brujo,Outdoor,Deportiva,4.7,Facil,TheCrag-Google Maps-TripAdvisor,
Veracruz,Jalcomulco,Cuevas de Mapaxtla,Outdoor,Boulder,NULL,Media,TheCrag,
Veracruz,Santa Catarina,Santa Catarina-Río Blanco,Outdoor,Deportiva-Boulder,NULL,Media,TheCrag,
Veracruz,Coscomatepec de Bravo,Rocatec,Outdoor,Deportiva,NULL,Media,TheCrag,
Veracruz,Emiliano Zapata,Miradores del Mar,Outdoor,Boulder,NULL,Media,TheCrag-ProgramaDestinosMexico,
Veracruz,Coetzala,Cueva del Sol y la Luna,Outdoor,Deportiva,NULL,Media,TheCrag,
Veracruz,Boca del Río,Boulder 9.8 Boca,Indoor,Boulder,4.7,Facil,Google Maps,
Veracruz,Xalapa,Karakorum Gimnasio de escalada,Indoor,Boulder,5,Facil,Google Maps,
Veracruz,Xalapa,Studio Roca,Indoor,Boulder,4.8,Facil,Google Maps,
Yucatán,Ticul,Camp Two Lands,Outdoor,Deportiva-Boulder,NULL,Facil,TheCrag-OutdoorActive,
Yucatán,Ticul,Ticul,Outdoor,Deportiva-Boulder,NULL,Facil,TheCrag,
Yucatán,Opichén,Grutas de Calcehtok,Outdoor,Boulder,4.8,Facil,TheCrag-Google Maps,
Yucatán,Abalá,Uayalceh,Outdoor,Boulder,NULL,Media,TheCrag,
Yucatán,Tecoh,Cenote Nah Yah,Outdoor,Psicobloc,4.7,Media,TheCrag-Google Maps,
Yucatán,Sotuta,Zavala,Outdoor,Deportiva-Boulder,NULL,Media,TheCrag,
Yucatán,Mérida,RockSolid Mérida,Indoor,Boulder,4.7,Facil,Google Maps,
Zacatecas,Fresnillo,Linares,Outdoor,Deportiva-Boulder,4.4,Media,TheCrag-Locales,
Zacatecas,Zacatecas,Las Antenas,Outdoor,Deportiva,4.5,Media,TheCrag-Locales,
Zacatecas,Zacatecas,Cueva de las Goteras,Outdoor,Deportiva,4,Dificil,TheCrag-Locales,
Zacatecas,Zacatecas,La Peñuela,Outdoor,Boulder,4.6,Facil,TheCrag-Locales,
Zacatecas,Zacatecas,Zector Climbing House Muro de escalada,Indoor,Boulder,NULL,Facil,Google Maps,